order_month,orders,customers,units,net_revenue,discounts
2016-01,50,50,221.0,215146.23,26037.73
2016-02,47,47,215.0,148506.15,18979.81
2016-03,55,55,213.0,180600.13,21556.81
2016-04,41,41,173.0,164398.93,19874.5
2016-05,49,49,215.0,197178.91,22675.1
2016-06,44,44,192.0,205463.81,19947.37
2016-07,50,50,211.0,199556.61,23297.4
2016-08,59,59,234.0,212826.91,26073.87
2016-09,66,66,279.0,271356.44,30004.95
2016-10,64,64,254.0,212077.86,22973.71
2016-11,42,42,175.0,176050.4,22594.96
2016-12,53,53,220.0,189684.5,22784.56
2017-01,50,50,229.0,285616.26,31338.29
2017-02,54,54,250.0,281968.04,31580.28
2017-03,66,66,294.0,308157.12,39199.73
2017-04,56,56,243.0,220408.88,26332.46
2017-05,56,56,239.0,263044.51,28959.92
2017-06,61,61,287.0,375577.23,40467.63
2017-07,50,50,238.0,213719.45,24610.04
2017-08,61,61,269.0,273336.32,30469.91
2017-09,53,53,237.0,293405.03,35983.42
2017-10,64,64,293.0,303422.05,34453.87
2017-11,53,53,235.0,268808.88,33229.59
2017-12,47,47,216.0,259505.76,31516.89
2018-01,52,52,241.0,381429.86,44871.62
2018-02,34,34,155.0,197372.15,22870.18
2018-03,68,68,290.0,363990.72,42710.21
