order_date,revenue,orders
2016-01-01,11929.01,2
2016-01-02,1519.98,1
2016-01-03,5250.04,2
2016-01-04,12980.05,3
2016-01-05,10598.92,3
2016-01-06,6816.92,1
2016-01-08,3278.05,1
2016-01-09,4467.14,2
2016-01-12,6542.6,2
2016-01-14,23318.1,3
2016-01-15,2083.16,1
2016-01-16,7370.42,2
2016-01-18,11610.62,3
2016-01-19,12793.35,2
2016-01-20,23036.81,3
2016-01-21,9428.91,2
2016-01-22,10199.17,2
2016-01-23,5644.91,1
2016-01-25,16487.56,3
2016-01-27,8047.96,4
2016-01-28,9574.03,2
2016-01-29,2455.55,2
2016-01-30,6712.84,1
2016-01-31,3000.13,2
2016-02-01,1786.46,1
2016-02-03,5246.91,2
2016-02-04,6289.87,4
2016-02-05,2904.22,2
2016-02-06,7402.4,2
2016-02-07,9432.04,3
2016-02-08,494.99,1
2016-02-09,5813.4,2
2016-02-10,3902.6,2
2016-02-11,1984.07,1
2016-02-12,6002.43,2
2016-02-13,1577.07,1
2016-02-14,8763.96,1
2016-02-16,4480.3,2
2016-02-17,12944.59,3
2016-02-18,3589.56,1
2016-02-19,2379.97,1
2016-02-20,7471.31,2
2016-02-21,18748.35,4
2016-02-23,1337.08,1
2016-02-25,5095.83,2
2016-02-26,4633.85,1
2016-02-27,12416.89,3
2016-02-28,4506.08,2
2016-02-29,9301.92,1
2016-03-01,13300.68,2
2016-03-02,754.58,1
2016-03-03,15929.87,3
2016-03-04,872.08,1
2016-03-06,5166.29,4
2016-03-07,1265.97,1
2016-03-08,10021.31,3
2016-03-09,620.09,1
2016-03-10,2214.5,2
2016-03-12,6384.6,2
2016-03-14,15467.29,3
2016-03-15,989.98,1
2016-03-16,16953.04,3
2016-03-17,6332.94,1
2016-03-18,8309.92,1
2016-03-19,12947.06,3
2016-03-20,8462.25,3
2016-03-21,12775.42,2
2016-03-23,6213.03,4
2016-03-25,359.2,1
2016-03-26,8319.3,3
2016-03-27,6744.77,1
2016-03-28,7507.05,4
2016-03-29,8954.96,3
2016-03-30,3238.96,1
2016-03-31,494.99,1
2016-04-02,1619.99,1
2016-04-03,12020.56,2
2016-04-04,12737.45,3
2016-04-06,3573.92,2
2016-04-07,8696.07,1
2016-04-08,20470.1,3
2016-04-09,5004.59,1
2016-04-10,10997.45,2
2016-04-11,4345.43,3
2016-04-12,1240.18,1
2016-04-13,3292.42,1
2016-04-15,5224.54,1
2016-04-16,5398.43,2
2016-04-17,3930.12,2
2016-04-18,6850.36,2
2016-04-19,8302.97,2
2016-04-21,3032.98,1
2016-04-22,8694.92,2
2016-04-23,3506.44,2
2016-04-27,13908.77,2
2016-04-28,15516.28,4
2016-04-30,6034.96,1
2016-05-01,15602.75,4
2016-05-03,7930.01,2
2016-05-04,4104.32,3
2016-05-05,12461.54,1
2016-05-06,10620.04,1
2016-05-07,3761.61,3
2016-05-08,5843.04,2
2016-05-10,1650.54,2
2016-05-11,5217.23,2
2016-05-12,7194.27,3
2016-05-13,5870.72,2
2016-05-15,10216.23,1
2016-05-17,17837.12,5
2016-05-19,13637.93,3
2016-05-20,7967.41,1
2016-05-21,2748.74,1
2016-05-22,8069.65,1
2016-05-24,8550.05,1
2016-05-25,10895.39,2
2016-05-26,6089.92,1
2016-05-27,19912.72,4
2016-05-28,1060.55,1
2016-05-29,4563.09,1
2016-05-30,5374.04,2
2016-06-01,19656.78,4
2016-06-02,3126.64,1
2016-06-03,6391.5,2
2016-06-04,1769.38,1
2016-06-05,7045.15,1
2016-06-06,14786.19,3
2016-06-08,8552.64,2
2016-06-09,5014.96,1
2016-06-10,6508.35,2
2016-06-11,16415.38,2
2016-06-12,4440.01,2
2016-06-13,11462.59,1
2016-06-15,2958.3,1
2016-06-16,242.99,1
2016-06-17,18150.36,2
2016-06-18,7587.51,1
2016-06-19,2197.94,1
2016-06-20,4692.86,1
2016-06-21,10474.1,3
2016-06-22,11013.93,1
2016-06-23,5169.94,2
2016-06-25,23604.48,4
2016-06-27,1034.28,1
2016-06-28,4095.01,1
2016-06-29,7843.45,2
2016-06-30,1229.09,1
2016-07-01,9477.33,2
2016-07-04,16610.64,3
2016-07-05,16235.92,2
2016-07-06,3604.58,2
2016-07-07,17140.02,3
2016-07-09,2497.27,2
2016-07-11,6006.86,2
2016-07-12,14408.21,2
2016-07-13,2687.14,1
2016-07-14,5578.13,1
2016-07-15,11950.47,1
2016-07-16,4044.78,1
2016-07-17,10153.81,3
2016-07-18,3018.28,1
2016-07-19,9420.15,4
2016-07-20,8840.14,3
2016-07-21,4029.06,1
2016-07-23,845.98,1
2016-07-24,7839.38,4
2016-07-25,12789.12,3
2016-07-26,6231.52,2
2016-07-28,9784.34,2
2016-07-29,6416.59,1
2016-07-31,9946.89,3
2016-08-01,5229.46,3
2016-08-02,3774.65,2
2016-08-03,11927.6,5
2016-08-04,3581.46,1
2016-08-05,5588.34,1
2016-08-07,20898.68,2
2016-08-08,3403.85,1
2016-08-09,697.49,1
2016-08-11,1694.05,1
2016-08-12,949.98,1
2016-08-13,4922.94,2
2016-08-14,8727.29,2
2016-08-15,9707.08,3
2016-08-16,8391.16,2
2016-08-17,18527.03,5
2016-08-18,3269.98,1
2016-08-19,4266.05,2
2016-08-20,24429.72,6
2016-08-21,3430.96,1
2016-08-22,18856.26,2
2016-08-23,2385.96,1
2016-08-25,751.98,1
2016-08-26,1453.45,2
2016-08-27,2501.76,1
2016-08-28,3799.99,1
2016-08-29,14015.43,3
2016-08-30,5391.08,2
2016-08-31,20253.23,4
2016-09-01,12219.88,3
2016-09-02,12995.01,3
2016-09-03,9576.89,3
2016-09-04,5932.63,3
2016-09-05,10151.47,2
2016-09-06,6061.13,2
2016-09-08,4005.28,3
2016-09-09,5422.51,2
2016-09-10,10186.73,1
2016-09-11,10695.17,2
2016-09-12,14555.55,2
2016-09-13,7176.21,1
2016-09-14,3533.03,1
2016-09-16,13904.44,3
2016-09-17,14703.28,2
2016-09-18,5551.35,3
2016-09-19,10725.18,3
2016-09-20,8083.96,1
2016-09-21,14069.36,4
2016-09-22,14551.86,2
2016-09-23,6359.86,3
2016-09-24,9278.65,1
2016-09-25,10067.48,3
2016-09-26,7601.15,1
2016-09-27,1492.16,2
2016-09-28,20361.15,4
